,Unnamed: 0,lemme,freqlemfilms2,nb_lettres,anagramme,def_1,def_2,def_3,def_4,def_5,def_6,def_7,def_8,def_9,def_10,def_11,def_12,def_13,def_14,def_15,def_16,def_17,def_18,def_19,def_20,def_21,def_22,def_23,def_24,def_25,def_26,def_27,def_28,def_29,def_30,def_31,def_32,def_33,def_34,def_35,def_36,def_37,def_38,def_39
239,240,gratuit,24.28,7,itrguat,Que l’on donne librement sans obligation.,(Figuré) Qui n’a aucun fondement.,Qui n’a aucun motif sérieux.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,241,mortel,24.13,6,omletr,"Qui est sujet à la mort, par opposition à l’immortalité ou à la divinité.",Qui cause la mort ; qui paraît devoir la causer.,"(Par hyperbole) Qualifie un ennemi que l’on hait profondément, et le sentiment de haine que l’on a à son encontre.",(Religion) (Théologie) Qualifie une forme de péché qui fait perdre la grâce de Dieu et qui donne une sorte de mort à l’âme.,(Familier) Ennuyeux à mourir.,(Populaire) Cool ; génial.,"Être humain comme sujet à la mort, par opposition au Dieu, aux immortels.","(Au pluriel) L’espèce humaine, l’humanité.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,242,exprès,24.06,6,serèpx,Qui est énoncé d’une manière formelle et impérative.,Avec intention formelle et délibérée.,Lettre reçue par livraison rapide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,243,avant,23.8,5,tavna,Marque la priorité ou l’antériorité de temps.,Marque la priorité d’ordre et de situation.,"Principalement, préférablement à toute autre chose.","Désigne un rapport de lieu ou de temps, au propre et au figuré. — Note :  Il est ordinairement précédé des mots si, bien, trop, plus, assez, ou fort.",(Marine) La partie d’un bâtiment qui s’étend depuis le grand mât jusqu’à la proue.,Espace qui est devant.,(Football) Joueur qui joue à l’avant et doit généralement attaquer.,(Rugby) Joueur qui joue en mêlée.,"Relatif à Avant-lès-Marcilly, commune française située dans le département de l’Aube.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,244,chouette,23.77,8,etcoehut,"(Génériquement) Oiseau rapace, généralement nocturne, qui, à la différence du hibou, n’a pas d’aigrettes.","(Ornithologie)(Spécifiquement) (Sens propre) Nom normalisé donné à deux genres (i.e. Strix et Pulsatrix) de rapaces nocturnes de la famille des strigidés comprenant 24 espèces quasi cosmopolites (étant absentes seulement du continent antarctique), dépourvues d'aigrettes, possédant un disque facial ovale ou elliptique bien délimité impliqué dans la localisation des sons, et dotées de pattes emplumées aux talons forts munis de puissantes serres.","(Ornithologie)(Vieilli) Ancien nom générique de divers oiseaux de l'ordre des strigiformes datant d'avant la normalisation des noms français d'oiseaux (vers 1981), qui était utilisé pour désigner quelques espèces rencontrées en Europe par juxtaposition au nom vernaculaire de ces dernières, e.g. chouette effraie (pour désigner l'effraie des clochers), chouette chevêche (pour désigner la chevêche d'Athéna), la chouette chevêchette (pour désigner la chevêchette d'Europe), etc., et qui continue d'être employé de manière informelle par tradition.","(Familier) Employé en accompagnement des mots généraux tels que bidule, machin, truc pour désigner des objets inconnus.",(Baie de Saint-Brieuc) Araignée de mer (crabe).,(Entomologie) Papillon de jour de la famille des lasiocampidés (Lasiocampidae).,"(Héraldique) Meuble représentant l’animal du même nom dans les armoiries. Elle est généralement représentée le corps tourné de façon à voir une aile, la face de front. À rapprocher de hibou et hulotte.",(Jeux) variante du backgammon se jouant à plus de trois joueurs.,(Familier) Qui plaît (à celui qui emploie le mot) ; sympa.,"Relatif à Saint-Just-d’Avray, commune française située dans le département du Rhône.","(Familier) Interjection exprimant la satisfaction, utilisée quand l’on apprend une nouvelle agréable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,245,rose,23.72,4,rsoe,(Botanique) Fleur du rosier.,(Botanique) Fleur ressemblant à celle du rosier : odoriférante qui croît sur un arbuste épineux et dont la sorte la plus courante est d’un rouge très pâle.,"(Par analogie) Objet, rappelant par sa forme ou sa couleur, la fleur du rosier.",(En particulier) (Par ellipse) Rose de compartiment.,(Bijouterie) Assemblage et monture de pierres précieuses en forme de rose.,"(Bijouterie) Diamant taillé par-dessus en facettes pointue, et plat en dessous : à culasse plane.",(Lutherie) Ouverture ronde qui est au milieu de la table d’un luth ou d’une guitare.,"(Héraldique) Représentation de la fleur, normalement avec cinq pétales, les pointes des sépales, et un bouton au centre.","(Cartographie) Graphique de déclinaison, sur la plupart des cartes marines, constitué d’un cercle gradué en azimuts géographiques, éventuellement d’un second cercle concentrique gradué en azimuts magnétiques, et comportant l’indication de la déclinaison avec sa date et sa variation annuelle[1].",Couleur entre rouge et blanc.  #FEC3AC #FEBFD2 #FF7FCF #FD3F92 #C4698F,(Cosmétologie) Poudre de couleur rose.,"(France) Carburant détaxé, coloré en rose car d’utilisation légalement restreinte.",De la couleur du même nom. — Note :  Voir la note sur les accords grammaticaux des noms de couleurs employés comme noms ou adjectifs.,(Politique) (Familier) Socialiste.,"Qui se rapporte à la sexualité, souvent à son commerce vénal.",Première personne du singulier de l’indicatif présent de roser.,Troisième personne du singulier de l’indicatif présent de roser.,Première personne du singulier du subjonctif présent de roser.,Troisième personne du singulier du subjonctif présent de roser.,Deuxième personne du singulier de l’impératif présent de roser.,Rose (fleur).,"Glorifier, faire l'éloge de, louer.",Datif singulier du nom rosa.,Locatif singulier du nom rosa.,,,,,,,,,,,,,,,
245,246,vidéo,23.61,5,dvoié,"Ensemble des techniques permettant la visualisation ou l’enregistrement d’images animées accompagnées de son, sur un support électronique.",Média vidéophonique enregistré et pouvant être joué.,"(Audiovisuel) (Télécommunications) Qualifie ou désigne des applications ou des appareils relatifs à la formation, l’enregistrement, le traitement ou la transmission d’images de télévision ou d’images analogues, ou de signaux occupant une largeur de bande comparable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,247,absurde,23.59,7,rsubaed,Insensé ; contraire au bon sens ou au sens commun.,(Par extension) Qualifie une personne qui parle ou agit de manière absurde.,"Chose qui dépasse l’entendement, fausse et inacceptable par la raison.",Absurdement.,Masculin de l’adjectif absurd.,Datif et génitif neutre de l’adjectif absurd.,Datif pluriel de l’adjectif absurd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,248,compliqué,23.51,9,iqulmécpo,"Complexe, embrouillé.",Participe passé masculin singulier de compliquer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,249,aimable,23.41,7,lbameia,(Sens propre) (Désuet) Qui mérite d’être aimé.,(Spécialement) (Soutenu) Qualifie des personnes qui plaisent par leurs agréments.,"Qui se comporte de façon socialement correcte avec les autres, qui fait preuve de politesse et de gentillesse.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,250,généreux,23.32,8,egxéréun,"Qui est de nature élevée, noble.",Qui est l’indice d’une âme généreuse ; qui part d’une âme généreuse.,"Qui est porté à donner plus qu’il n’est tenu de donner, ou à recevoir moins que ce qu’il a le droit de réclamer.",(Par extension) Qui produit beaucoup.,Qui a du corps et qui réconforte.,"(Désuet) Qui est de bonne race, de race noble, qui a le sens de l’honneur. On ne retrouve plus cette acception que dans les expressions poétiques :",(Par métonymie) Présent en grandes quantités ; volumineux.,Substantif de l’adjectif : personne qui fait preuve de générosité.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,251,saint,23.22,5,ntasi,"Pur, souverainement parfait et bienheureux.","Inspiré par l’amour de Dieu, par la piété.","Appartenant à la religion, se rapportant à Dieu, dédié, consacré à Dieu, ou servant à quelque usage sacré.","(Par extension) Digne d’un grand respect, d’une vénération particulière.",Qui est inspiré par de hauts sentiments moraux.,"Personne ayant vécu une vie pure, souverainement parfaite et bienheureuse, et généralement reconnue comme telle par une religion.",Image ou représentation d’un saint.,"(Par extension) Personne d’une haute valeur morale, vivant de manière exemplaire et reconnue comme telle par la société.","(Héraldique) Meuble représentant l’être du même nom dans les armoiries. Il existe un grand nombre de saints utilisés en héraldique, on doit donc toujours précisé son nom dans le blasonnement. Il est généralement représenté de front, vêtu, avec une auréole, les mains jointes en prière ou tenant quelque autre meuble aidant parfois son identification. À rapprocher de ange, angelot, archange et chérubin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,252,futur,23.2,5,tufru,Qui concerne l’avenir ; qui se produira dans l’avenir.,Période constituée des évènements à venir. Ce qui sera.,(Grammaire) Temps du mode indicatif se rapportant à l’avenir.,Futur époux.,(Grammaire) Futur.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,253,inconnu,23.13,7,ncuinon,Qui n’est pas connu.,"Qu’on n’a pas encore éprouvé, ressenti.",Personne que l’on ne connaît pas.,"(En particulier) Personne qui n’est guère connue, dont on n’a pas entendu parler, ou que l’on regarde comme peu digne de l’être.","(Au singulier) Ce que l’on ignore, par opposition à ce que l’on connaît.","(Ichtyologie) Espèce de salmonidé anadrome de grande taille, proche du belorybitsa de la Caspienne, mais fréquentant les rivières et lacs arctiques de Sibérie, du Canada et de l’Alaska.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,254,professionnel,23.09,13,osnloeepnrfsi,Qui est relatif à une profession.,(En particulier) Qualifie la formation des apprentis à leur métier.,"Celui qui fait profession d’un métier, d’un art ou d’un sport.",(En particulier) Prostitué(e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,255,royal,22.65,5,ylroa,Qui appartient ou qui est relatif à un roi.,"S’est dit aussi de certains établissements qui étaient, d’une manière spéciale, sous la surveillance ou sous la protection du roi.",Qui est digne d’un roi.,"(Cuisine) Gâteau au chocolat constitué d’une dacquoise (poudre d’amandes, sucre, œufs), d’un croustillant praliné (pralinoise, crêpes dentelles) étalé en fine couche et tassé, et d’une mousse au chocolat montée à la crème chantilly que l’on fait bien refroidir au frais, le tout étant saupoudré de cacao en poudre. ",(Numismatique) Nom de plusieurs monnaies françaises d’or.,(Drogue) Joint composé de marijuana et de haschisch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,256,délicat,22.52,7,adicétl,"Qui est d’une très grande finesse, très délié.","(En particulier) Qui est fait, travaillé, façonné avec adresse et légèreté, avec un soin extrême et une attention minutieuse.",(Par extension) qui fait preuve d’adresse et de légèreté.,"(Figuré) Se dit des manières de penser et de s’exprimer, lorsqu’elles ont de la finesse, de la grâce, de la sensibilité.","Ce qui est fait ou exprimé d’une manière ingénieuse et détournée par ménagement, par courtoisie, par modestie, par fierté.",Subtil.,"Qui est faible, qui s’altère facilement.","Qui est agréable au goût, et se dit surtout des aliments choisis et recherchés.",Frêle et fragile.,"(Figuré) Qui est difficile, embarrassant, dangereux, périlleux.","(Figuré) Qui est sensible, qui juge finement de ce qui regarde les sens ou l’esprit.",(En particulier) Qui est difficile à contenter.,"Qui est susceptible, facile à choquer, à offenser.","Qui est scrupuleux sur ce qui concerne la probité, la morale, ou les simples bienséances.","Qui est conforme à la probité, à la morale, aux bienséances.","(Équitation) Se dit d'un cheval de trot qui requiert une vigilance particulière car son tempérament lui fait courir le risque de se montrer fautif dans ses allures, notamment en se mettant au galop.",Personne difficile à contenter.,,,,,,,,,,,,,,,,,,,,,,
256,257,romantique,22.48,10,ntiuaqmroe,Qui rappelle à l’imagination les descriptions des poèmes et des romans.,Relatif au romantisme.,"Qui évoque les qualités, les émotions chères aux romantiques.","(Par analogie) Idéaliste, où l’imagination l’emporte sur le sens des réalités.",Membre du romantisme.,(Par analogie) Idéaliste.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,258,gamin,22.15,5,gaimn,"(Familier) Espiègle, malicieux, vilain.",(Vieilli) Enfant pauvre qui vit dans les rues.,(Familier) Petit garçon ; petite fille. — Note d’usage :  Il se dit en particulier des enfants qui passent leur temps à jouer dans les rues.,"(Familier) Enfant espiègle et hardi, petit garçon ou petite fille.",(Par hyperbole) Personne notablement plus jeune qu'une autre ou que le locuteur.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,259,cassé,22.07,5,ésacs,"Mis hors d’usage, détruit.",(Argot) Ivre.,(Québec) À court d’argent.,"(Jeu) Se dit d'un dé à jouer (typiquement, un dé à six faces) qui, au terme d'un jet, ne s'est pas arrêté à plat sur l'une de ses faces (par exemple s'il repose en partie sur un objet d'un plateau de jeu), et dont la valeur (celle normalement lue sur la face supérieure) n'est donc pas complètement univoque.",(La Réunion) (Géologie) Définition manquante ou à compléter. (Ajouter),Participe passé masculin singulier de casser.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,260,direct,21.89,6,tridec,"Qui est droit, qui ne fait aucun détour.",(Figuré) Sans détour.,Qui se fait sans intermédiaire ou sans étapes.,"En termes de sports,","Immédiat, sans intermédiaire.","En termes d’Astronomie,","(Généalogie) Relatif aux ascendants et des descendants, par opposition à collatéral.","(Grammaire) Ordonné, qui place le sujet, le verbe, l’attribut ou le complément dans l’ordre de la relation grammaticale.",(Logique),"(Vieilli) (Mathématiques) Relatif au ratio de la première à la seconde grandeur, dans l’ordre où on les énonce; par opposition à inverse, qui intervertit l’ordre suivi dans l’énoncé.",(Musique) Montant à partir de la basse. Il se dit par opposition à renversé.,(Mathématiques) En trigonométrie : désigne le sens inverse des aiguilles d'une montre.,(Populaire) Directement ; d’emblée.,(Boxe) Coup droit.,"(Audiovisuel) Émission télévisée retransmise en temps réel, sans enregistrement préalable.","(Transport) Transport qui mène à un endroit sans étapes, en un seul trajet (Se dit principalement des trains ou des avions).","Guider, régler.",Diriger.,,,,,,,,,,,,,,,,,,,,,
260,261,idéal,21.85,5,laiéd,"(Philosophie) Qui n’existe ou ne peut exister que dans l’entendement, dans l’imagination par opposition à réel.","Qui réunit toutes les perfections, ou qui est plus beau que les modèles offerts par la nature.","Paradigmatique, modèle.",Opportun ; qui correspond exactement aux besoins.,"Ce qui donnerait à l’intelligence, à la sensibilité humaine une satisfaction parfaite.","Ensemble des intérêts moraux, intellectuels, esthétiques, qui s’opposent à ceux de la vie matérielle et qui les dépassent.",Modèle.,(Mathématiques) Certains sous-ensembles des anneaux.,(En particulier) Se dit de certains ensembles de nombres dont la considération permet d’étendre sans réserve aux nombres algébriques les théories élémentaires fondamentales de la divisibilité et des nombres premiers.,(Vieilli) (Viticulture) Autre nom du cépage italia qui fournit du raisin de table blanc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,262,solide,21.71,6,desiol,(Physique) Qui a de la consistance.,"Qui est stable, ferme, résistant au choc des corps et à l’action du temps.","(Figuré) Qui est réel, sérieux, durable, ferme, fort.","Vigoureux, violent, fort.",(Géométrie) Qui occupe une portion de l’étendue sous les trois dimensions.,(Géométrie) Analogue tridimensionnel de l'angle plan.,(Familier) Qui est musclé,État fondamental de la matière quand elle a un volume et une forme propres.,(Géométrie) Objet à trois dimensions.,Avantage matériel.,Première personne du singulier du présent de l’indicatif de solider.,Troisième personne du singulier du présent de l’indicatif de solider.,Première personne du singulier du présent du subjonctif de solider.,Troisième personne du singulier du présent du subjonctif de solider.,Deuxième personne du singulier de l’impératif de solider.,,,,,,,,,,,,,,,,,,,,,,,,
262,263,franc,21.67,5,nfarc,"Libre de ses mouvements et de son action, en opposition au statut d’esclave ou de serf.",Exempt de charges ou d’impôt.,"Sincère, loyal, honnête.","(Par extension) Naturel et sans mélange, vrai, pur.","Net, en parlant d’un acte, d’un sentiment, etc.","Plein, entier, en parlant d’une durée.",(Botanique) Qualifie les arbres qui portent des fruits doux et mangeables sans avoir été greffés.,Relatif aux Francs.,Relatif aux Européens du Levant.,(Numismatique) Unité monétaire utilisée par plusieurs pays.,(Par ellipse) Scion d’arbre franc.,"Largement, ouvertement, résolument, sans déguiser, sans biaiser.","(Parler gaga) Très, complètement.",Français.,Libre.,"Noble, d’ascendance noble.","Brave, vaillant.",,,,,,,,,,,,,,,,,,,,,,
263,264,tendre,21.66,6,eerdnt,Qui peut aisément être entamé.,"(En particulier) Qualifie les aliments qui n’offrent pas de résistance quand on les coupe, quand on les mâche.",Qualifie également du pain nouvellement cuit.,"Qui est sensible, délicat, qui est aisément pénétré par les impressions extérieures.","Délicat et faible, en parlant de la vue, des yeux.","(Figuré) Qui a de la tendresse, qui est sensible à l’amitié, à la compassion, et plus particulièrement à l’amour.","Qualifie les choses où se marque de l’amitié, de la compassion, où se manifeste de l’amour.","(Figuré) Qualifie une couleur délicate, qui ne fatigue pas la vue.",(Figuré) Qualifie un son de voix touchant et gracieux.,(Musique) Qualifie un air touchant et passionné.,Partie tendre d’une chose.,"Tendresse, amour.","Étirer un fil, une corde, une surface; tirer une corde par plusieurs côtés pour la rendre raide ; étirer une peau.",Étaler une tenture.,Porter vers un but. — Note :  Il est alors suivi de la préposition à et d’un verbe à l'infinitif.,Évoluer vers un état différent. — Note :  Il est alors suivi de la préposition à et d'un verbe à l'infinitif.,(Mathématiques) Avoir pour limite; avoir un comportement asymptotique.,(Figuré) Offrir ; mettre à disposition.,(Pronominal) Devenir en situation de tension.,,,,,,,,,,,,,,,,,,,,
264,265,imbécile,21.58,8,ebléicim,"Qui est peu capable de raisonner, de comprendre et d’agir judicieusement.",(Vieilli) Dont les facultés physiques et intellectuelles sont faibles par nature ou par suite des infirmités ou de l’âge.,(Vieilli) Dont les facultés sont affaiblies à la suite d'un choc émotionnel.,"(En parlant d’un comportement, d’une action) Idiot, stupide, qui manque d’intelligence.",(Péjoratif) Personne qui manque de capacité de compréhension ou qui n’est pas capable d’agir judicieusement.,(Vieilli) Personne qui est infirme intellectuellement.,"(Injurieux) Personne sotte, dont l’attitude ou les propos relèvent de l’idiotie.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,266,immense,21.56,7,mmeinse,"Qui est sans bornes, sans mesure; dont l’étendue, la grandeur est infinie. En ce sens, il se dit proprement de Dieu.",Qui est d’une très grande étendue.,Qui est très considérable en son genre.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,267,fermé,21.46,5,fmeré,Qui n’est pas ouvert.,"(Topologie) Qualifie une partie d'un espace topologique dont le complémentaire est ouvert. Pour un espace métrique, qui est clos par limites de suites. Note :  Les deux définitions sont équivalentes.",(Géométrie) Se dit d'une courbe ou plus généralement d'une variété qui est compacte.,(Topologie) Complémentaire d’un ouvert.,Participe passé masculin singulier de fermer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,268,blond,21.45,5,bnodl,"De la couleur proche du jaune, entre le doré et le châtain clair. Il se dit particulièrement par rapport à la couleur des poils humains (cheveux et barbe) et du blé.  #E2BC74",(Par extension) Léger.,(Coiffure) Couleur blonde.,(Coiffure) Personne dont les cheveux sont de la couleur blonde.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,269,officiel,21.36,8,olififce,(Administration) Qui émane du gouvernement ; qui est déclaré par lui.,(Politique) Qui est à la solde du gouvernement.,(Par analogie) Qui est à la solde de la classe dominante ou qui en émane.,(Administration) Personnage qui fait partie du gouvernement ou de l’administration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,270,chinois,21.34,7,nisicho,"Qui se rapporte aux Chinois, à la Chine.",Relatif à la langue parlée et écrite les sinophones.,"(Figuré) Compliqué, très difficile.","(Linguistique) Langue sinitique principalement parlée par les Hans, ou son système d’écriture à base de sinogrammes. En particulier le mandarin, la langue officielle de la Chine, de Taïwan et l’une des langues officielles de Singapour, ou le chinois classique.",(Figuré) Quelque chose de dur à comprendre.,"(Cuisine) Passoire de forme conique, utilisée en art culinaire.",(Cuisine) (Par ellipse) Restaurant chinois.,(Cuisine) (Par ellipse) Plat préparé dont la recette est d’origine chinoise.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,271,moderne,21.3,7,ordnmee,"Qui est soit de notre temps, soit d’un temps plus ou moins rapproché du nôtre, par opposition à antique, à ancien.","(Ironique) Se dit de celui, de celle qui outre les nouveaux usages, les nouvelles modes.","(Histoire) Qualifie la période qui va de la Renaissance à la Révolution française, les XIXe et XXe siècles étant qualifiés de contemporain.","(Technique) Qui bénéficie, témoigne des progrès effectués dans ces domaines.","(Arts) Qui s'oppose à l'ordre établi, à la tradition.","Auteur, savant ou artiste qui a paru depuis la Renaissance des lettres et des arts.","Ce qui est moderne, en art notamment.",(Sylviculture) Baliveau âgé d'un peu plus d'un demi siècle.,Première personne du singulier de l’indicatif présent de moderner.,Troisième personne du singulier de l’indicatif présent de moderner.,Première personne du singulier du subjonctif présent de moderner.,Troisième personne du singulier du subjonctif présent de moderner.,Deuxième personne du singulier de l’impératif présent de moderner.,,,,,,,,,,,,,,,,,,,,,,,,,,
271,272,débile,21.09,6,éeblid,"Faible, qui manque de forces, de vigueur.","(Par extension) Qui a des faiblesses de santé, en parlant d'organes.",(Par extension) (Médecine) Qui est atteint dans sa raison.,"(Vieilli) Personne atteinte d’arriération, de débilité mentale.",(Par extension) (Injurieux) Personne méprisable qui manque d’intelligence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,273,jaune,21.09,5,jenau,Désigne une couleur du spectre située entre le vert et l’orange.  #ffff00,"Qualifie les syndicats, créés en 1899 contre les syndicats « rouges », qui refusent certains modes d’action comme la grève et l’affrontement contre le patronat.",La couleur jaune.,(Par extension) Colorant de cette couleur.,"(Par métonymie) Personne xanthoderme, ayant la peau de couleur jaune. — Note d’usage :  Le terme prend alors souvent une majuscule, à la façon des gentilés.",(Désuet) Membre d’un syndicat jaune (droite prolétarienne).,"(Par extension) Travailleur qui refuse de participer à une grève, ouvrier briseur de grève.",(Par ellipse) Jaune d’œuf.,(Populaire) Pastis.,(Par métonymie) Verre de pastis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,274,espagnol,20.94,8,lenapgos,"(Géographie) Relatif à l’Espagne, ses habitants, sa culture, sa langue.","(Géographie) Relatif à Montigny-le-Guesdier, commune française située dans le département de la Seine-et-Marne.",(Linguistique) Une des langues officielles de l’Espagne et de nombreux pays du continent américain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,275,incapable,20.93,9,icblnpaae,"Qui n’est pas capable, qui n’est pas en état de faire une chose.",Qui est dans une disposition ou dans une situation qui ne lui permet pas certaines choses.,"(En particulier) Qui n’a pas la capacité, le talent, l’aptitude, l’adresse nécessaire pour certaines choses.","Sens favorable, personne qui est tellement fortifiée dans une habitude qu’elle ne peut rien faire qui y soit contraire.",(Droit) Celui que la loi prive de certains droits ou qu’elle exclut de certaines fonctions.,Qui n’a pas les qualités et les conditions nécessaires pour quelque chose.,"(Injurieux) Personne incapable, inutile.",(Droit) Personne que la loi prive de certains droits ou qu’elle exclut de certaines fonctions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,276,assis,20.89,5,siass,Placé sur son séant.,Destiné à faire asseoir.,Solidement établi.,"(Héraldique) Se dit d'un quadrupède représenté le postérieur à terre, les pattes arrières repliées, les antérieures éventuellement posées au sol.",Personne qui est sur un siège ou qui a une position sociale établie.,Participe passé masculin singulier de asseoir (ou assoir).,Participe passé masculin pluriel de asseoir (ou assoir).,Première personne du singulier du passé simple de asseoir (ou assoir).,Deuxième personne du singulier du passé simple de asseoir (ou assoir).,Un.,Datif pluriel de assus.,Ablatif pluriel de assus.,Génitif singulier de as.,,,,,,,,,,,,,,,,,,,,,,,,,,
276,277,vilain,20.67,6,ivlnai,Qui déplaît à la vue.,Qui est incommode ou désagréable.,"(en parlant de personnes, de paroles ou d’actions) Qui est laid moralement.",Qui est dangereux.,"Qui est avare, qui vit mesquinement.",(Histoire) Juridiquement libre.,"Relatif à Ville-sur-Illon, commune française située dans le département des Vosges.",(Vieilli) (Familier) Personne dont le caractère est méprisable.,(Familier) Terme de reproche qu’on adresse aux enfants.,(Vieilli) Paysan ; roturier.,"Paysan libre, n’étant pas la propriété du seigneur.",(Anglicisme) Méchant.,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,278,occupé,20.63,6,cpcéou,"Qui n’est pas disponible pour le moment, en parlant d’une personne, d’une ligne téléphonique pour un numéro qu’on appelle, etc.",Participe passé masculin singulier de occuper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,279,reconnaissant,20.59,13,esnrtcsaianon,"Qui a de la reconnaissance, de la gratitude.",Participe présent de reconnaître (ou reconnaitre).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,280,cardiaque,20.55,9,acduqraie,(Médecine) Relatif au cœur.,(Anatomie) Ce qui appartient au cœur.,Qui soigne le cœur.,Celui ou celle qui a une maladie de cœur.,(Par ellipse) Remède pour le cœur.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,281,ordinaire,20.55,9,oreradiin,Commun ; habituel.,(Spécialement) Qui est habituel à quelqu’un.,Qui ne dépasse pas le niveau commun.,"Médiocre, dont les manières laissent à désirer.","(Histoire) Il s’est dit des officiers de la maison du roi, qui remplissaient leurs fonctions toute l’année, par opposition à ceux qui servaient par quartier. Il s’est dit aussi de quelques autres serviteurs habituels de la maison du roi, quoiqu’ils ne servissent que par quartier.","Ce qu’on a coutume de faire, ce qu’on a coutume d’être.",(Cuisine) Ce qu’on a coutume de servir pour un repas.,(Cuisine) (Militaire) Cantine militaire où les militaires du rang prennent leurs repas.,"(Religion catholique) Évêque diocésain, autorité diocésaine.","(Liturgie) Prières qui se disent tous les jours à la messe, la partie de la messe qui ne varie pas.",(Vieilli) Courrier qui partait et arrivait à jours fixes.,"(Administration) Fonds établi pour payer la Maison du roi, les commissaires des guerres et les compagnies de gendarmerie.","Essence ordinaire, par opposition au super et au diésel.",,,,,,,,,,,,,,,,,,,,,,,,,,
281,282,civil,20.46,5,vlcii,Citoyen ; relatif aux citoyens.,Relatif à l’état civil des personnes.,"(Droit) Qualifie le droit relatif à la personne physique, c’est-à-dire l'ensemble des règles qui déterminent le statut des personnes, aux relations juridiques entre elles, et aux biens. → voir droit civil","Qui n'est ni militaire, ni religieux, ni politique.",(En particulier) Qualifie le mariage contracté devant un officier d’état-civil,(En particulier) Qualifie les obsèques faites sans aucune cérémonie religieuse.,"Qui appartient à la société, par opposition à sauvage.",Affable ; poli ; courtois.,Statut des citoyens qui ne sont pas militaires,"(Droit) Personne de la population qui n'a pas le statut de combattant et qui n'est ni un prisonnier de guerre, ni un combattant ne prenant plus part aux hostilités (blessé, naufragé, malade, etc). Note :  un civil qui prend les armes, en droit international des conflits armés, la protection qui lui est offerte en tant que civil jusqu'à ce qu'il dépose à nouveau les armes.",(Droit) Partie de la justice qui ressortit du code civil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,283,ennuyeux,20.42,8,xyenuneu,"Qui cause de l’ennui, de la lassitude.",Qui cause du souci.,Celui ou ce qui est ennuyeux.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,284,électrique,20.36,10,eqtleéiurc,Qui se rapporte à l’électricité ; qui utilise l’énergie électrique.,(Par analogie) (Figuré) Qualifie une personne extrêmement énergique.,(Figuré) Qualifie certaines impressions très soudaines.,Qualifie la couleur de certaines manifestation de l’électricité.  #2C75FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,285,réfléchi,20.28,8,rhéfcéil,Fait ou dit avec réflexion.,Qui a l’habitude de réfléchir.,(Grammaire) Se dit d'un pronom qui représente le même référent que le sujet.,(Grammaire) Se dit d’un verbe dont le sujet exerce l’action sur lui-même.,Participe passé masculin singulier de réfléchir.,Réfléchir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
